timestamp,usdtBalance,bitcoinBalance,bitcoinValue,assetValue
1420070400.0,5000.0,15.878056525881233,5000.0,10000.0
1422144000.0,6752.143537630994,8.927863992636512,2250.7145125436646,9002.858050174658
1422576000.0,8821.622411124137,0.0,0.0,8821.622411124137
1423872000.0,6616.2168083431025,8.528250590800596,2205.4056027810343,8821.622411124137
1424390400.0,4350.687038896924,17.79422101798333,4350.687038896924,8701.374077793847
1425600000.0,2300.347922099795,25.315641108948586,6901.043766299385,9201.39168839918
1426723200.0,4452.59934371224,17.066306415148485,4452.59934371224,8905.19868742448
1427241600.0,6493.30293330362,8.784230158689962,2164.4343111012067,8657.737244404827
1427414400.0,8664.764628531779,0.0,0.0,8664.764628531779
1428278400.0,6498.573471398834,8.494867282874292,2166.1911571329447,8664.764628531779
1428537600.0,8565.37468132215,0.0,0.0,8565.37468132215
1429833600.0,6424.031010991612,9.265874817527207,2141.3436703305374,8565.37468132215
1430006400.0,8450.477833584811,0.0,0.0,8450.477833584811
1430438400.0,6337.858375188609,9.059260113191264,2112.619458396203,8450.477833584811
1431129600.0,4262.38188325649,17.6569257798529,4262.38188325649,8524.76376651298
1431820800.0,6326.035083776797,8.923734072191843,2108.6783612589325,8434.71344503573
1431993600.0,8396.341388525305,0.0,0.0,8396.341388525305
1432339200.0,4198.170694262652,17.572920444799717,4198.170694262652,8396.341388525305
1433030400.0,8236.427812477628,0.0,0.0,8236.427812477628
1434067200.0,6177.320859358221,8.933218885550573,2059.106953119407,8236.427812477628
1434412800.0,4204.419468484377,16.83114278816804,4204.419468484377,8408.838936968754
1434672000.0,2078.225355769049,25.541483274506955,6234.676067307148,8312.901423076197
1436918400.0,0.0,32.874670838970786,9316.68171576432,9316.68171576432
1437350400.0,2282.324022995547,24.656003129228093,6846.972068986641,9129.296091982187
1437782400.0,0.0,32.561524511270164,9400.512126403695,9400.512126403695
1438473600.0,2290.7032493678557,24.42114338345262,6872.109748103567,9162.812997471423
1439078400.0,4367.721494130501,16.550668791703302,4367.721494130501,8735.442988261002
1439424000.0,6545.375740398862,8.283188737533363,2181.7919134662875,8727.16765386515
1439769600.0,8674.983564818689,0.0,0.0,8674.983564818689
1441584000.0,6506.237673614017,9.0515270918392,2168.7458912046723,8674.983564818689
1442188800.0,8587.18375202785,0.0,0.0,8587.18375202785
1443139200.0,6440.387814020887,9.135301863859414,2146.7959380069624,8587.18375202785
1443657600.0,4303.183942970977,18.14923636849843,4303.183942970977,8606.367885941954
1444694400.0,2204.6784878633466,26.58374382471881,6614.03546359004,8818.713951453386
1446076800.0,0.0,33.613968594691215,10541.340551295167,10541.340551295167
1447286400.0,2805.926028441849,25.210476446018415,8417.778085325548,11223.704113767397
1448409600.0,5531.17853225644,16.889094754981496,5531.17853225644,11062.35706451288
1448496000.0,2876.2128367733485,24.395359090528824,8628.638510320045,11504.851347093394
1448582400.0,0.0,32.3959511260597,11646.344429818462,11646.344429818462
1451174400.0,3421.012438911904,24.296963344544775,10263.037316735712,13684.049755647617
1451779200.0,0.0,32.23987590296573,13885.714551407338,13885.714551407338
1451865600.0,3492.3845571887628,24.179906927224295,10477.153671566288,13969.538228755051
1451952000.0,0.0,32.27912899862681,13918.76042420788,13918.76042420788
1452038400.0,3476.4621931521074,24.20934674897011,10429.386579456323,13905.84877260843
1452211200.0,0.0,31.885350708237294,14440.87533576067,14440.87533576067
1452729600.0,3420.500997226156,23.91401303117797,10261.502991678468,13682.003988904624
1452902400.0,6313.698007114837,16.39921560289568,6313.698007114836,12627.396014229675
1453593600.0,9680.866950779393,8.025256528872912,3226.9556502597984,12907.822601039192
1455062400.0,12745.712419155958,0.0,0.0,12745.712419155958
1455321600.0,9559.284314366969,8.168234054829503,3186.428104788989,12745.712419155958
1455580800.0,6439.427317124839,15.845047532295371,6439.427317124839,12878.854634249677
1455840000.0,0.0,31.17701733497356,13094.347280688895,13094.347280688895
1457136000.0,3109.9074791636126,23.38276300123017,9329.722437490838,12439.62991665445
1457568000.0,6416.230167537558,15.431048983976812,6416.230167537558,12832.460335075117
1457654400.0,3220.84569918056,23.05544523393386,9662.53709754168,12883.38279672224
1457740800.0,0.0,30.903509803087267,12682.800423187015,12682.800423187015
1457827200.0,3186.1518606982972,23.177632352315452,9558.455582094892,12744.607442793189
1457913600.0,6394.3224721312945,15.434039276203945,6394.3224721312945,12788.644944262589
1458086400.0,3203.3348517761287,23.106526942362073,9610.004555328385,12813.339407104515
1458259200.0,0.0,30.95399105744323,12635.419149648325,12635.419149648325
1458345600.0,6325.448072588523,15.476995528721613,6325.448072588523,12650.896145177046
1458691200.0,3194.838802016359,22.98445181306733,9584.516406049077,12779.355208065435
1458777600.0,0.0,30.68842770411232,12726.49096889538,12726.49096889538
1458864000.0,3189.294849149873,23.016320778084243,9567.88454744962,12757.179396599491
1459382400.0,6378.589698299746,15.34421385205616,6378.589698299746,12757.179396599491
1459641600.0,3202.337430924121,22.922959419642954,9607.012292772362,12809.349723696483
1461369600.0,0.0,30.037683771840513,13519.961465705415,13519.961465705415
1463702400.0,3319.914998882673,22.528262828880386,9959.74499664802,13279.659995530692
1463875200.0,6611.669669229246,15.040194879957339,6611.669669229246,13223.339338458492
1464307200.0,0.0,28.988865068204692,13740.722042329024,13740.722042329024
1466640000.0,4499.071858585368,21.74164880115352,13497.215575756105,17996.287434341473
1467331200.0,0.0,28.410892587968473,19165.988139843532,19165.988139843532
1467936000.0,4707.684901826376,21.308169440976357,14123.054705479128,18830.739607305502
1468368000.0,0.0,28.42808006079846,18796.646536199944,18796.646536199944
